eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
,,1990,8,21,5,12,41.0,,-48.270000000000003,-11.789999999999999,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1990,8,21,5,41,52.0,,-48.25,-11.91,,,,0.0,,3.2000000000000002,0.33000000000000002,
,,1990,9,24,15,25,18.0,,-35.850000000000001,-5.6500000000000004,,,,3.0,,3.3999999999999999,0.29999999999999999,
,,1991,4,19,10,12,48.0,,-39.869999999999997,-3.9300000000000002,,,,10.0,,4.7000000000000002,0.33000000000000002,
,,1991,4,26,14,14,29.0,,-35.689999999999998,-5.46,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1992,1,28,16,5,38.0,,-39.670000000000002,-20.989999999999998,,,,0.0,,3.2999999999999998,0.29999999999999999,
,,1992,2,1,17,24,30.0,,-44.420000000000002,-26.91,,,,0.0,,3.3999999999999999,0.29999999999999999,
,,1992,3,2,6,6,37.0,,-47.270000000000003,-20.010000000000002,,,,0.0,,3.2999999999999998,0.29999999999999999,
,,1992,4,24,3,9,30.0,,-45.759999999999998,-26.850000000000001,,,,0.0,,3.3999999999999999,0.29999999999999999,
,,1992,4,24,3,31,31.0,,-45.810000000000002,-26.77,,,,0.0,,3.6000000000000001,0.29999999999999999,
,,1992,6,9,22,22,24.0,,-43.840000000000003,-21.219999999999999,,,,0.0,,3.3999999999999999,0.29999999999999999,
,,1992,6,16,2,50,38.0,,-41.57,1.53,,,,0.0,,4.5,0.29999999999999999,
,,1992,12,9,16,21,0.0,,-46.329999999999998,-24.890000000000001,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1993,1,1,23,22,9.0,,-37.090000000000003,-6.7999999999999998,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1993,5,21,10,32,12.0,,-43.0,-23.91,,,,0.0,,3.2999999999999998,0.29999999999999999,
,,1993,6,5,5,51,1.0,,-57.299999999999997,-29.829999999999998,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1993,7,12,8,29,1.0,,-51.030000000000001,-14.789999999999999,,,,0.0,,3.8999999999999999,0.33000000000000002,
,,1993,9,25,20,27,27.0,,-37.07,-10.49,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1993,11,18,15,22,46.0,,-50.43,-5.2999999999999998,,,,0.0,,3.6000000000000001,0.29999999999999999,
,,1993,11,21,2,56,13.0,,-38.289999999999999,-4.4100000000000001,,,,0.0,,3.6000000000000001,0.29999999999999999,
,,1993,12,27,22,48,11.0,,-44.469999999999999,-20.32,,,,4.0,,3.2999999999999998,0.29999999999999999,
,,1994,8,11,7,23,34.0,,-38.289999999999999,-4.4100000000000001,,,,4.0,,3.2000000000000002,0.29999999999999999,
